feature,kl,psi,severity,timestamp
footfall,0.0282,0.0476,NORMAL,2026-01-09 08:28:19.986534
tempMode,0.0144,0.0298,NORMAL,2026-01-09 08:28:19.986534
AQ,0.0404,0.0786,NORMAL,2026-01-09 08:28:19.986534
USS,0.0852,0.1513,LOW,2026-01-09 08:28:19.986534
CS,0.0535,0.0989,NORMAL,2026-01-09 08:28:19.986534
VOC,0.1213,0.2321,MEDIUM,2026-01-09 08:28:19.986534
RP,0.2043,0.3757,HIGH,2026-01-09 08:28:19.986534
IP,13.561,21.0742,HIGH,2026-01-09 08:28:19.986534
Temperature,7.9649,8.8279,HIGH,2026-01-09 08:28:19.986534
footfall,0.0282,0.0476,NORMAL,2026-01-10 07:51:21.344975
tempMode,0.0144,0.0298,NORMAL,2026-01-10 07:51:21.344975
AQ,0.0404,0.0786,NORMAL,2026-01-10 07:51:21.344975
USS,0.0852,0.1513,LOW,2026-01-10 07:51:21.344975
CS,0.0535,0.0989,NORMAL,2026-01-10 07:51:21.344975
VOC,0.1213,0.2321,MEDIUM,2026-01-10 07:51:21.344975
RP,0.2043,0.3757,HIGH,2026-01-10 07:51:21.344975
IP,13.561,21.0742,HIGH,2026-01-10 07:51:21.344975
Temperature,7.9649,8.8279,HIGH,2026-01-10 07:51:21.344975
footfall,0.0282,0.0476,NORMAL,2026-01-10 14:32:08.012684
tempMode,0.0144,0.0298,NORMAL,2026-01-10 14:32:08.012684
AQ,0.0404,0.0786,NORMAL,2026-01-10 14:32:08.012684
USS,0.0852,0.1513,LOW,2026-01-10 14:32:08.012684
CS,0.0535,0.0989,NORMAL,2026-01-10 14:32:08.012684
VOC,0.1213,0.2321,MEDIUM,2026-01-10 14:32:08.012684
RP,0.2043,0.3757,HIGH,2026-01-10 14:32:08.012684
IP,13.561,21.0742,HIGH,2026-01-10 14:32:08.012684
Temperature,7.9649,8.8279,HIGH,2026-01-10 14:32:08.012684
